net,length_um
net203,6.94938mm
eFPGA_top_i.LocalWriteData\[26\],6.15159mm
eFPGA_top_i.LocalWriteData\[16\],5.91417mm
eFPGA_top_i.LocalWriteData\[21\],5.78174mm
eFPGA_top_i.LocalWriteData\[6\],5.7086mm
eFPGA_top_i.LocalWriteData\[15\],5.66607mm
eFPGA_top_i.LocalWriteData\[24\],5.65284mm
eFPGA_top_i.LocalWriteData\[17\],5.62766mm
eFPGA_top_i.LocalWriteData\[30\],5.62284mm
eFPGA_top_i.LocalWriteData\[10\],5.56886mm
eFPGA_top_i.LocalWriteData\[27\],5.5645mm
eFPGA_top_i.LocalWriteData\[29\],5.5431mm
eFPGA_top_i.LocalWriteData\[28\],5.53397mm
eFPGA_top_i.LocalWriteData\[31\],5.51812mm
eFPGA_top_i.LocalWriteData\[5\],5.51411mm
eFPGA_top_i.LocalWriteData\[19\],5.50533mm
eFPGA_top_i.LocalWriteData\[18\],5.50515mm
eFPGA_top_i.LocalWriteData\[23\],5.50073mm
eFPGA_top_i.LocalWriteData\[1\],5.49315mm
eFPGA_top_i.LocalWriteData\[22\],5.49123mm
eFPGA_top_i.LocalWriteData\[11\],5.44208mm
eFPGA_top_i.LocalWriteData\[12\],5.43666mm
eFPGA_top_i.LocalWriteData\[25\],5.433545mm
eFPGA_top_i.LocalWriteData\[2\],5.42576mm
eFPGA_top_i.LocalWriteData\[14\],5.42526mm
eFPGA_top_i.LocalWriteData\[4\],5.40029mm
eFPGA_top_i.LocalWriteData\[13\],5.37823mm
eFPGA_top_i.LocalWriteData\[9\],5.31322mm
eFPGA_top_i.LocalWriteData\[8\],5.30825mm
eFPGA_top_i.LocalWriteData\[3\],5.22832mm
eFPGA_top_i.LocalWriteData\[7\],5.20582mm
eFPGA_top_i.LocalWriteData\[20\],5.16618mm
eFPGA_top_i.LocalWriteData\[0\],5.05159mm
net237,4.84049mm
net136,3.17804mm
net108,3.10156mm
net103,2.95956mm
net118,2.92699mm
net243,2.92342mm
net245,2.92322mm
net247,2.92218mm
net256,2.9064mm
net113,2.88736mm
net265,2.8545mm
net240,2.84484mm
net266,2.81753mm
net250,2.80313mm
net257,2.79657mm
net270,2.78834mm
net263,2.77781mm
net251,2.7744mm
net261,2.75919mm
net267,2.68626mm
net258,2.66039mm
net264,2.64978mm
net255,2.64897mm
net239,2.62942mm
net268,2.60325mm
net260,2.59724mm
net248,2.5957mm
net254,2.57983mm
net123,2.57434mm
net253,2.55906mm
net244,2.54238mm
net252,2.53107mm
net262,2.51624mm
net241,2.48311mm
eFPGA_top_i.FrameAddressRegister\[17\],2.48106mm
eFPGA_top_i.FrameAddressRegister\[3\],2.4565mm
net246,2.45528mm
net269,2.45222mm
net259,2.4419mm
_0477_,2.43698mm
eFPGA_top_i.FrameAddressRegister\[12\],2.401395mm
eFPGA_top_i.FrameAddressRegister\[0\],2.40112mm
net238,2.33564mm
_0476_,2.33539mm
eFPGA_top_i.FrameAddressRegister\[13\],2.32816mm
eFPGA_top_i.FrameAddressRegister\[7\],2.30722mm
eFPGA_top_i.FrameAddressRegister\[4\],2.2775mm
eFPGA_top_i.eFPGA_inst.Tile_X8Y12_E6BEG\[3\],2.25983mm
eFPGA_top_i.FrameAddressRegister\[16\],2.23186mm
eFPGA_top_i.FrameAddressRegister\[6\],2.21874mm
eFPGA_top_i.FrameAddressRegister\[9\],2.20522mm
eFPGA_top_i.FrameAddressRegister\[8\],2.18839mm
net94,2.18048mm
eFPGA_top_i.FrameAddressRegister\[2\],2.17758mm
net249,2.17454mm
eFPGA_top_i.FrameAddressRegister\[15\],2.16911mm
eFPGA_top_i.FrameAddressRegister\[5\],2.16404mm
eFPGA_top_i.FrameAddressRegister\[11\],2.15946mm
eFPGA_top_i.eFPGA_inst.Tile_X8Y12_EE4BEG\[11\],2.14913mm
eFPGA_top_i.FrameAddressRegister\[1\],2.11161mm
eFPGA_top_i.FrameAddressRegister\[18\],2.101775mm
net242,2.08161mm
eFPGA_top_i.FrameAddressRegister\[19\],2.0664mm
eFPGA_top_i.eFPGA_inst.Tile_X8Y13_E6BEG\[5\],2.04068mm
eFPGA_top_i.FrameAddressRegister\[10\],2.01337mm
eFPGA_top_i.FrameAddressRegister\[14\],2.00594mm
_0473_,1.95606mm
eFPGA_top_i.eFPGA_inst.Tile_X8Y2_N2BEGb\[7\],1.90879mm
_0485_,1.8853mm
net187,1.84955mm
_0466_,1.82442mm
eFPGA_top_i.eFPGA_inst.Tile_X8Y12_EE4BEG\[12\],1.79838mm
eFPGA_top_i.RowSelect\[2\],1.787335mm
eFPGA_top_i.eFPGA_inst.Tile_X2Y2_N4BEG\[0\],1.78424mm
eFPGA_top_i.RowSelect\[3\],1.76372mm
net236,1.71312mm
eFPGA_top_i.eFPGA_inst.Tile_X8Y1_S2BEG\[5\],1.57552mm
_0471_,1.47268mm
eFPGA_top_i.eFPGA_inst.Tile_X8Y6_E6BEG\[10\],1.40134mm
net235,1.33228mm
eFPGA_top_i.eFPGA_inst.Tile_X8Y6_E6BEG\[11\],1.32407mm
eFPGA_top_i.eFPGA_inst.Tile_X9Y13_W2BEGb\[6\],1.30185mm
eFPGA_top_i.RowSelect\[4\],1.24322mm
eFPGA_top_i.RowSelect\[0\],1.23848mm
eFPGA_top_i.eFPGA_inst.Tile_X9Y7_WW4BEG\[10\],1.23569mm
eFPGA_top_i.eFPGA_inst.Tile_X8Y6_EE4BEG\[11\],1.23402mm
eFPGA_top_i.RowSelect\[1\],1.21708mm
eFPGA_top_i.eFPGA_inst.Tile_X8Y10_FrameData_O\[10\],1.20767mm
eFPGA_top_i.eFPGA_inst.Tile_X9Y5_W6BEG\[0\],1.19259mm
eFPGA_top_i.eFPGA_inst.Tile_X9Y5_W2BEGb\[3\],1.18409mm
eFPGA_top_i.FrameAddressRegister\[27\],1.18188mm
eFPGA_top_i.FrameAddressRegister\[28\],1.15304mm
eFPGA_top_i.eFPGA_inst.Tile_X9Y9_W2BEGb\[5\],1.15113mm
eFPGA_top_i.eFPGA_inst.Tile_X9Y6_FAB2RAM_D3_O3,1.1257mm
eFPGA_top_i.eFPGA_inst.Tile_X8Y10_E1BEG\[0\],1.090065mm
eFPGA_top_i.eFPGA_inst.Tile_X9Y12_W2BEGb\[7\],1.08577mm
eFPGA_top_i.eFPGA_inst.Tile_X8Y8_E1BEG\[2\],1.06015mm
eFPGA_top_i.eFPGA_inst.Tile_X8Y4_E6BEG\[3\],1.05943mm
net144,1.05289mm
_0469_,1.0477mm
_0462_,1.0473mm
eFPGA_top_i.eFPGA_inst.Tile_X8Y6_E1BEG\[1\],1.03612mm
eFPGA_top_i.eFPGA_inst.Tile_X8Y11_E1BEG\[3\],1.02654mm
eFPGA_top_i.eFPGA_inst.Tile_X8Y8_EE4BEG\[5\],1.01378mm
eFPGA_top_i.eFPGA_inst.Tile_X8Y4_EE4BEG\[3\],1.01003mm
eFPGA_top_i.eFPGA_inst.Tile_X8Y7_E1BEG\[1\],1.00958mm
eFPGA_top_i.eFPGA_inst.Tile_X8Y11_E1BEG\[2\],1.00119mm
_0460_,997.3µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y2_WW4BEG\[3\],995.76µm
